query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	.	..	...	....	.....
ERR10439742.3931	11442	8417	10899	+	OX578059.1	142895829	142850699	142853181	385	2482	0	tp:A:P	cm:i:40	s1:i:385	s2:i:385	dv:f:0.0107
ERR10439742.4251	21813	3	21740	-	OX578063.1	29784559	78482	100251	20225	21819	60	tp:A:P	cm:i:3508	s1:i:20219	s2:i:507	dv:f:0.0025
ERR10439742.4415	7995	8	7975	-	OX578063.1	29784559	59169	67136	7273	7967	60	tp:A:P	cm:i:1331	s1:i:7273	s2:i:4985	dv:f:0.0001
ERR10439742.4463	13567	13174	13506	-	OX578063.1	29784559	35589	35922	91	333	21	tp:A:P	cm:i:9	s1:i:91	s2:i:76	dv:f:0.0133
ERR10439742.4464	4832	7	4798	+	OX578060.1	91870870	91821721	91825946	4006	4793	0	tp:A:P	cm:i:725	s1:i:3933	s2:i:3926	dv:f:0.0049
ERR10439742.4580	8648	9	8647	-	OX578060.1	91870870	91813361	91821999	8577	8638	4	tp:A:P	cm:i:1591	s1:i:8577	s2:i:8467	dv:f:0.0000
ERR10439742.4779	7916	6	92	-	OX578061.1	39856278	39770688	39770774	86	86	0	tp:A:P	cm:i:15	s1:i:86	s2:i:86	dv:f:0.0043
ERR10439742.5138	14471	11804	14450	-	OX578060.1	91870870	53412	56071	1352	2676	9	tp:A:P	cm:i:172	s1:i:1342	s2:i:1271	dv:f:0.0370
ERR10439742.5380	10406	482	6932	-	OX578061.1	39856278	90979	97541	5214	6566	60	tp:A:P	cm:i:921	s1:i:5196	s2:i:2841	dv:f:0.0020
ERR10439742.6027	10437	4	10432	+	OX578061.1	39856278	39795250	39805680	8947	10430	3	tp:A:P	cm:i:1632	s1:i:8946	s2:i:8831	dv:f:0.0000
ERR10439742.6106	3817	1487	3407	+	OX578063.1	29784559	29779661	29781582	130	1921	0	tp:A:P	cm:i:12	s1:i:130	s2:i:130	dv:f:0.0230
ERR10439742.6106	3817	398	471	-	OX578059.1	142895829	76506	76579	48	73	0	tp:A:P	cm:i:6	s1:i:48	s2:i:0	dv:f:0.0190
ERR10439742.6184	9687	71	508	-	OX578059.1	142895829	37318	37755	45	437	0	tp:A:P	cm:i:3	s1:i:45	s2:i:0	dv:f:0.0335
ERR10439742.6259	11629	316	9825	+	OX578059.1	142895829	63904	73414	407	9510	0	tp:A:P	cm:i:30	s1:i:407	s2:i:286	dv:f:0.0295
ERR10439742.6259	11629	7990	11572	+	OX578059.1	142895829	74322	77904	272	3582	7	tp:A:P	cm:i:25	s1:i:272	s2:i:108	dv:f:0.0121
ERR10439742.6363	8456	3	8444	-	OX578060.1	91870870	91784195	91798066	5892	13871	39	tp:A:P	cm:i:1042	s1:i:5231	s2:i:4410	dv:f:0.0158
ERR10439742.6598	12377	8525	11499	+	OX578063.1	29784559	29779028	29782004	146	2976	0	tp:A:P	cm:i:14	s1:i:146	s2:i:146	dv:f:0.0536
ERR10439742.6598	12377	3451	5170	+	OX578063.1	29784559	29773321	29775040	119	1719	0	tp:A:P	cm:i:12	s1:i:119	s2:i:115	dv:f:0.0740
ERR10439742.6598	12377	6421	7298	+	OX578059.1	142895829	142822061	142822938	99	877	0	tp:A:P	cm:i:15	s1:i:99	s2:i:95	dv:f:0.0452
ERR10439742.6598	12377	507	1583	+	OX578063.1	29784559	29782405	29783482	88	1077	0	tp:A:P	cm:i:8	s1:i:88	s2:i:88	dv:f:0.0148
ERR10439742.6598	12377	7072	8306	-	OX578059.1	142895829	52499	53733	71	1234	0	tp:A:P	cm:i:6	s1:i:71	s2:i:58	dv:f:0.0633
ERR10439742.6598	12377	6170	6665	-	OX578059.1	142895829	53507	54002	70	495	0	tp:A:P	cm:i:5	s1:i:70	s2:i:66	dv:f:0.1041
ERR10439742.6598	12377	1341	2819	-	OX578059.1	142895829	94280	95758	56	1478	2	tp:A:P	cm:i:5	s1:i:56	s2:i:40	dv:f:0.0452
ERR10439742.6598	12377	2794	2858	-	OX578059.1	142895829	76515	76579	49	64	1	tp:A:P	cm:i:6	s1:i:49	s2:i:40	dv:f:0.0190
ERR10439742.6598	12377	262	335	-	OX578059.1	142895829	76506	76579	48	73	1	tp:A:P	cm:i:6	s1:i:48	s2:i:0	dv:f:0.0190
ERR10439742.6598	12377	8280	8546	-	OX578059.1	142895829	95727	95994	46	267	0	tp:A:P	cm:i:4	s1:i:46	s2:i:41	dv:f:0.0801
ERR10439742.6598	12377	4727	6195	-	OX578059.1	142895829	94280	95748	46	1468	0	tp:A:P	cm:i:4	s1:i:46	s2:i:44	dv:f:0.0756
ERR10439742.6695	9626	9	9622	-	OX578063.1	29784559	63919	73532	9055	9613	60	tp:A:P	cm:i:1594	s1:i:9055	s2:i:1039	dv:f:0.0000
ERR10439742.6708	21948	5193	21822	+	OX578061.1	39856278	38128	51289	10893	16894	0	tp:A:P	cm:i:1882	s1:i:10401	s2:i:10221	dv:f:0.0147
ERR10439742.6825	11110	6236	7738	+	OX578059.1	142895829	142821599	142823101	130	1502	0	tp:A:P	cm:i:13	s1:i:130	s2:i:130	dv:f:0.0215
ERR10439742.6825	11110	292	1247	+	OX578059.1	142895829	142821984	142822938	96	955	0	tp:A:P	cm:i:11	s1:i:96	s2:i:96	dv:f:0.0247
ERR10439742.6825	11110	4759	6251	+	OX578059.1	142895829	142821599	142823091	65	1492	0	tp:A:P	cm:i:5	s1:i:65	s2:i:65	dv:f:0.0512
ERR10439742.7006	13380	1793	5141	+	OX578059.1	142895829	142819234	142822585	93	3351	0	tp:A:P	cm:i:8	s1:i:92	s2:i:74	dv:f:0.0954
ERR10439742.7006	13380	11704	13366	+	OX578059.1	142895829	142821133	142822585	111	1662	0	tp:A:P	cm:i:12	s1:i:82	s2:i:67	dv:f:0.0689
ERR10439742.7020	13779	376	13057	-	OX578063.1	29784559	29771854	29784537	1110	12683	0	tp:A:P	cm:i:104	s1:i:1110	s2:i:1068	dv:f:0.0299
ERR10439742.7020	13779	12403	13690	-	OX578063.1	29784559	29783250	29784537	126	1287	2	tp:A:P	cm:i:12	s1:i:126	s2:i:105	dv:f:0.0302
ERR10439742.7140	8744	50	8738	+	OX578061.1	39856278	39762144	39770832	8657	8688	0	tp:A:P	cm:i:1630	s1:i:8657	s2:i:8638	dv:f:0.0001
ERR10439742.7539	8291	611	8285	-	OX578060.1	91870870	91824962	91832743	3897	7783	24	tp:A:P	cm:i:625	s1:i:3881	s2:i:3173	dv:f:0.0003
ERR10439742.7705	12120	9	12088	-	OX578062.1	39551669	39454491	39466582	9211	12104	60	tp:A:P	cm:i:1578	s1:i:9208	s2:i:4059	dv:f:0.0020
ERR10439742.8125	9301	68	9269	-	OX578060.1	91870870	79607	88820	2589	9247	3	tp:A:P	cm:i:331	s1:i:2577	s2:i:2389	dv:f:0.0382
ERR10439742.8273	9983	8	9980	+	OX578063.1	29784559	29728190	29738171	9594	10005	60	tp:A:P	cm:i:1710	s1:i:9588	s2:i:0	dv:f:0.0021
ERR10439742.8336	12236	4	12228	-	OX578062.1	39551669	39489015	39500818	9949	12376	0	tp:A:P	cm:i:1729	s1:i:9856	s2:i:9846	dv:f:0.0048
ERR10439742.8428	23398	2	23398	+	OX578063.1	29784559	29713726	29737125	23273	23402	60	tp:A:P	cm:i:4298	s1:i:23273	s2:i:111	dv:f:0.0001
ERR10439742.8456	7591	104	7438	+	OX578059.1	142895829	142879169	142886509	5797	7365	0	tp:A:P	cm:i:987	s1:i:5790	s2:i:5773	dv:f:0.0029
ERR10439742.8748	5705	9	4340	+	OX578062.1	39551669	39535886	39540136	514	4524	0	tp:A:P	cm:i:69	s1:i:440	s2:i:433	dv:f:0.0388
ERR10439742.8748	5705	1519	5499	-	OX578062.1	39551669	39546680	39550303	271	4068	8	tp:A:P	cm:i:24	s1:i:191	s2:i:129	dv:f:0.0478
ERR10439742.8892	12014	744	1454	+	OX578061.1	39856278	2771	3446	53	720	3	tp:A:P	cm:i:5	s1:i:43	s2:i:0	dv:f:0.0512
ERR10439742.8892	12014	1640	2153	+	OX578061.1	39856278	2771	3258	53	524	3	tp:A:P	cm:i:5	s1:i:43	s2:i:0	dv:f:0.0883
ERR10439742.9482	11151	145	11137	-	OX578063.1	29784559	29773120	29784326	969	11210	0	tp:A:P	cm:i:91	s1:i:939	s2:i:927	dv:f:0.0445
ERR10439742.9716	17063	263	17061	-	OX578060.1	91870870	91786593	91803367	14789	16819	12	tp:A:P	cm:i:2565	s1:i:14784	s2:i:14204	dv:f:0.0024
ERR10439742.9867	11108	1752	10418	+	OX578059.1	142895829	36052	44507	464	8666	4	tp:A:P	cm:i:37	s1:i:435	s2:i:269	dv:f:0.0068
ERR10439742.9979	6169	2	6162	-	OX578063.1	29784559	29718660	29724828	6109	6169	60	tp:A:P	cm:i:1110	s1:i:6108	s2:i:82	dv:f:0.0005
ERR10439742.10068	9161	518	9133	-	OX578061.1	39856278	17097	25724	888	8628	16	tp:A:P	cm:i:109	s1:i:887	s2:i:278	dv:f:0.0047
ERR10439742.10201	7880	6	7854	-	OX578061.1	39856278	39760069	39767915	7437	7855	0	tp:A:P	cm:i:1343	s1:i:7436	s2:i:7423	dv:f:0.0011
ERR10439742.10512	10725	2	10723	-	OX578061.1	39856278	39785936	39796648	10207	10724	60	tp:A:P	cm:i:1820	s1:i:10206	s2:i:5244	dv:f:0.0008
ERR10439742.10789	6741	4	6733	-	OX578061.1	39856278	68336	75065	5454	6729	53	tp:A:P	cm:i:987	s1:i:5454	s2:i:4346	dv:f:0.0001
ERR10439742.11006	14277	10742	12807	-	OX578062.1	39551669	39526135	39528051	588	2072	0	tp:A:P	cm:i:92	s1:i:562	s2:i:559	dv:f:0.0213
ERR10439742.11006	14277	11263	13970	-	OX578060.1	91870870	91842119	91844755	525	2713	60	tp:A:P	cm:i:87	s1:i:512	s2:i:59	dv:f:0.0249
ERR10439742.11106	6899	5299	6374	+	OX578063.1	29784559	29781561	29782637	103	1076	0	tp:A:P	cm:i:9	s1:i:103	s2:i:103	dv:f:0.0335
ERR10439742.11106	6899	4210	5663	-	OX578059.1	142895829	52338	53791	85	1453	0	tp:A:P	cm:i:6	s1:i:85	s2:i:85	dv:f:0.0908
ERR10439742.11106	6899	1712	2999	+	OX578063.1	29784559	29783038	29784326	78	1288	0	tp:A:P	cm:i:7	s1:i:78	s2:i:78	dv:f:0.0495
ERR10439742.11106	6899	874	1540	+	OX578059.1	142895829	142822061	142822727	66	666	0	tp:A:P	cm:i:10	s1:i:66	s2:i:66	dv:f:0.0173
ERR10439742.11106	6899	24	1733	+	OX578063.1	29784559	29782827	29784537	57	1710	1	tp:A:P	cm:i:5	s1:i:57	s2:i:0	dv:f:0.0883
ERR10439742.11106	6899	5648	6712	-	OX578059.1	142895829	95389	96455	51	1066	1	tp:A:P	cm:i:4	s1:i:50	s2:i:0	dv:f:0.0756
ERR10439742.11106	6899	3751	4494	+	OX578059.1	142895829	142821984	142822727	48	743	0	tp:A:P	cm:i:6	s1:i:48	s2:i:48	dv:f:0.0593
ERR10439742.11716	13761	498	13490	+	OX578059.1	142895829	33201	46195	779	12994	9	tp:A:P	cm:i:66	s1:i:779	s2:i:278	dv:f:0.0049
ERR10439742.12113	12021	198	12018	+	OX578060.1	91870870	35505	47329	2403	11824	16	tp:A:P	cm:i:320	s1:i:2402	s2:i:1698	dv:f:0.0010
ERR10439742.12412	23255	7965	21443	+	OX578059.1	142895829	79308	92790	642	13484	14	tp:A:P	cm:i:52	s1:i:641	s2:i:383	dv:f:0.0307
ERR10439742.12412	23255	4800	14096	+	OX578059.1	142895829	6516	15814	280	9300	6	tp:A:P	cm:i:19	s1:i:279	s2:i:220	dv:f:0.0717
ERR10439742.12412	23255	159	2284	+	OX578059.1	142895829	68757	70882	120	2125	0	tp:A:P	cm:i:8	s1:i:120	s2:i:120	dv:f:0.0148
ERR10439742.12653	6171	198	5219	-	OX578059.1	142895829	44703	49724	237	5232	0	tp:A:P	cm:i:19	s1:i:179	s2:i:174	dv:f:0.0255
ERR10439742.12683	7113	88	6224	+	OX578059.1	142895829	51244	57167	210	6136	0	tp:A:P	cm:i:14	s1:i:180	s2:i:180	dv:f:0.0676
ERR10439742.12831	10404	7916	10403	+	OX578061.1	39856278	39829867	39832357	1965	2490	0	tp:A:P	cm:i:289	s1:i:1964	s2:i:1960	dv:f:0.0011
ERR10439742.13008	10436	1553	9795	-	OX578059.1	142895829	37318	45562	255	8244	0	tp:A:P	cm:i:17	s1:i:255	s2:i:255	dv:f:0.0730
ERR10439742.13038	11062	369	10728	-	OX578059.1	142895829	29300	39865	270	10575	0	tp:A:P	cm:i:18	s1:i:237	s2:i:237	dv:f:0.1131
ERR10439742.13038	11062	10352	11059	+	OX578059.1	142895829	142822712	142823422	182	710	1	tp:A:P	cm:i:27	s1:i:181	s2:i:152	dv:f:0.0172
ERR10439742.13305	7473	600	7254	-	OX578059.1	142895829	87019	94094	392	7076	3	tp:A:P	cm:i:34	s1:i:337	s2:i:230	dv:f:0.0170
ERR10439742.13434	13488	1320	13487	-	OX578061.1	39856278	39832074	39844616	5532	12604	27	tp:A:P	cm:i:852	s1:i:5453	s2:i:4731	dv:f:0.0081
ERR10439742.13434	13488	128	1642	-	OX578061.1	39856278	39838867	39840362	230	1515	27	tp:A:P	cm:i:26	s1:i:216	s2:i:170	dv:f:0.0049
ERR10439742.13729	10850	98	1087	+	OX578059.1	142895829	59763	60754	55	991	1	tp:A:P	cm:i:4	s1:i:55	s2:i:40	dv:f:0.0452
ERR10439742.13837	7622	4	7614	+	OX578062.1	39551669	39468548	39476086	7189	7619	12	tp:A:P	cm:i:1265	s1:i:7177	s2:i:6905	dv:f:0.0022
ERR10439742.14195	12046	1003	12046	+	OX578060.1	91870870	53582	68410	5385	15029	18	tp:A:P	cm:i:805	s1:i:4859	s2:i:4325	dv:f:0.0309
ERR10439742.14195	12046	7	655	+	OX578060.1	91870870	81647	82307	468	663	0	tp:A:P	cm:i:64	s1:i:465	s2:i:465	dv:f:0.0020
ERR10439742.14582	5042	8	5039	-	OX578062.1	39551669	39476011	39481105	4845	5095	0	tp:A:P	cm:i:878	s1:i:4835	s2:i:4831	dv:f:0.0003
ERR10439742.14752	8737	13	8731	+	OX578061.1	39856278	39890	48602	8169	8726	12	tp:A:P	cm:i:1444	s1:i:8167	s2:i:7857	dv:f:0.0014
ERR10439742.14860	13278	445	13114	-	OX578062.1	39551669	31843	44514	440	12671	4	tp:A:P	cm:i:46	s1:i:440	s2:i:173	dv:f:0.0055
ERR10439742.14866	14688	50	907	+	OX578060.1	91870870	17183	18040	80	857	0	tp:A:P	cm:i:8	s1:i:80	s2:i:65	dv:f:0.0318
ERR10439742.14913	8602	6217	8412	-	OX578059.1	142895829	23320	25518	60	2198	1	tp:A:P	cm:i:4	s1:i:59	s2:i:0	dv:f:0.0883
ERR10439742.15101	8153	160	7989	-	OX578063.1	29784559	29776496	29784326	714	7832	0	tp:A:P	cm:i:68	s1:i:713	s2:i:713	dv:f:0.0366
ERR10439742.15252	10199	9000	10070	+	OX578059.1	142895829	5039	6109	45	1070	0	tp:A:P	cm:i:3	s1:i:45	s2:i:45	dv:f:0.0633
ERR10439742.15280	12178	8792	11977	-	OX578063.1	29784559	29779239	29782426	309	3187	0	tp:A:P	cm:i:29	s1:i:309	s2:i:309	dv:f:0.0143
ERR10439742.15401	10566	3	10560	-	OX578059.1	142895829	142876905	142887465	7187	10560	0	tp:A:P	cm:i:1247	s1:i:7186	s2:i:7160	dv:f:0.0002
ERR10439742.15421	9485	4366	9368	+	OX578062.1	39551669	39540970	39545975	45	5012	0	tp:A:P	cm:i:3	s1:i:41	s2:i:41	dv:f:0.1952
ERR10439742.15440	6750	0	5428	-	OX578061.1	39856278	39792857	39798285	4475	5428	3	tp:A:P	cm:i:805	s1:i:4475	s2:i:4411	dv:f:0.0003
ERR10439742.16446	5775	3	5766	-	OX578063.1	29784559	88159	93922	5721	5763	60	tp:A:P	cm:i:1068	s1:i:5721	s2:i:0	dv:f:0.0001
ERR10439742.16540	20241	17867	19746	-	OX578061.1	39856278	34360	36105	120	1880	28	tp:A:P	cm:i:12	s1:i:101	s2:i:70	dv:f:0.0613
ERR10439742.16628	10331	229	10307	-	OX578061.1	39856278	39813297	39823650	2161	11203	25	tp:A:P	cm:i:290	s1:i:1873	s2:i:1117	dv:f:0.0471
ERR10439742.16716	14116	146	13625	+	OX578059.1	142895829	41155	54635	375	13691	0	tp:A:P	cm:i:25	s1:i:317	s2:i:316	dv:f:0.0654
ERR10439742.16893	8408	2837	2979	+	OX578060.1	91870870	91771408	91771550	142	142	0	tp:A:P	cm:i:24	s1:i:142	s2:i:142	dv:f:0.0053
ERR10439742.17317	11050	3	11045	+	OX578060.1	91870870	59234	70289	9501	11058	60	tp:A:P	cm:i:1584	s1:i:9500	s2:i:6591	dv:f:0.0004
ERR10439742.17458	14943	12319	13062	-	OX578059.1	142895829	142821984	142822727	126	743	0	tp:A:P	cm:i:13	s1:i:126	s2:i:126	dv:f:0.0345
ERR10439742.17458	14943	11034	13946	-	OX578059.1	142895829	142810769	142813686	104	2917	0	tp:A:P	cm:i:8	s1:i:102	s2:i:57	dv:f:0.1113
ERR10439742.17458	14943	10004	10327	-	OX578059.1	142895829	142822404	142822727	96	323	0	tp:A:P	cm:i:11	s1:i:96	s2:i:96	dv:f:0.0205
ERR10439742.17458	14943	74	1474	-	OX578059.1	142895829	142796903	142798303	67	1400	2	tp:A:P	cm:i:5	s1:i:67	s2:i:0	dv:f:0.0883
ERR10439742.17492	9113	46	4703	+	OX578059.1	142895829	86483	91140	367	4657	3	tp:A:P	cm:i:32	s1:i:367	s2:i:271	dv:f:0.0114
ERR10439742.17492	9113	2200	7657	+	OX578059.1	142895829	11202	16447	218	5457	1	tp:A:P	cm:i:16	s1:i:189	s2:i:160	dv:f:0.0366
ERR10439742.17713	18235	4	18234	+	OX578063.1	29784559	29747560	29765803	17942	18253	60	tp:A:P	cm:i:3288	s1:i:17938	s2:i:580	dv:f:0.0005
ERR10439742.17874	6541	2	6537	-	OX578060.1	91870870	91793759	91800283	6436	6537	0	tp:A:P	cm:i:1167	s1:i:6432	s2:i:6346	dv:f:0.0010
ERR10439742.18085	7553	9	7535	+	OX578060.1	91870870	87469	94996	1807	7530	33	tp:A:P	cm:i:243	s1:i:1807	s2:i:856	dv:f:0.0011
ERR10439742.18485	6642	157	6637	-	OX578063.1	29784559	29767083	29773563	3891	6480	60	tp:A:P	cm:i:633	s1:i:3891	s2:i:1954	dv:f:0.0008
ERR10439742.18632	8402	531	7709	+	OX578060.1	91870870	27311	34711	175	7401	0	tp:A:P	cm:i:12	s1:i:143	s2:i:130	dv:f:0.1335
ERR10439742.18827	8970	4353	5423	+	OX578059.1	142895829	53565	54635	45	1070	0	tp:A:P	cm:i:3	s1:i:45	s2:i:45	dv:f:0.0976
ERR10439742.18937	14121	4	14105	-	OX578062.1	39551669	77537	91648	13979	14111	60	tp:A:P	cm:i:2611	s1:i:13976	s2:i:0	dv:f:0.0001
ERR10439742.19055	5248	146	914	+	OX578061.1	39856278	32476	33244	60	769	1	tp:A:P	cm:i:4	s1:i:60	s2:i:45	dv:f:0.0652
ERR10439742.19055	5248	3764	5184	+	OX578061.1	39856278	17824	19141	67	1421	0	tp:A:P	cm:i:7	s1:i:52	s2:i:41	dv:f:0.0814
ERR10439742.19163	17223	7677	8078	-	OX578061.1	39856278	14215	14616	223	401	0	tp:A:P	cm:i:25	s1:i:223	s2:i:223	dv:f:0.0051
ERR10439742.19215	6294	1734	6046	-	OX578059.1	142895829	35498	39807	178	4317	2	tp:A:P	cm:i:14	s1:i:174	s2:i:121	dv:f:0.0749
ERR10439742.19215	6294	406	1520	-	OX578059.1	142895829	89396	90507	45	1114	0	tp:A:P	cm:i:3	s1:i:44	s2:i:44	dv:f:0.0883
ERR10439742.19237	11424	10882	11240	-	OX578059.1	142895829	142822061	142822419	48	358	0	tp:A:P	cm:i:6	s1:i:48	s2:i:48	dv:f:0.0190
ERR10439742.19237	11424	10775	10897	-	OX578059.1	142895829	142819028	142819150	41	122	0	tp:A:P	cm:i:4	s1:i:41	s2:i:0	dv:f:0.0267
ERR10439742.19442	6337	15	6328	-	OX578062.1	39551669	39476234	39482547	6121	6313	4	tp:A:P	cm:i:1102	s1:i:6121	s2:i:6042	dv:f:0.0001
ERR10439742.19469	9576	1117	9149	-	OX578059.1	142895829	9893	17924	286	8033	1	tp:A:P	cm:i:22	s1:i:286	s2:i:253	dv:f:0.0452
ERR10439742.19469	9576	724	1132	-	OX578059.1	142895829	2719	3127	58	408	0	tp:A:P	cm:i:5	s1:i:58	s2:i:45	dv:f:0.0222
ERR10439742.19469	9576	62	1132	-	OX578059.1	142895829	40905	41975	45	1070	0	tp:A:P	cm:i:3	s1:i:45	s2:i:0	dv:f:0.0633
ERR10439742.19776	10911	2684	2826	+	OX578060.1	91870870	91771408	91771550	142	142	17	tp:A:P	cm:i:24	s1:i:142	s2:i:129	dv:f:0.0053
ERR10439742.19989	12485	8	70	+	OX578060.1	91870870	91784087	91784149	62	62	0	tp:A:P	cm:i:11	s1:i:62	s2:i:62	dv:f:0.0058
ERR10439742.20080	8446	7	8442	-	OX578062.1	39551669	39435561	39458608	7398	23091	60	tp:A:P	cm:i:1283	s1:i:5625	s2:i:3823	dv:f:0.0030
ERR10439742.20260	15568	13935	14899	-	OX578059.1	142895829	142821766	142822727	96	964	0	tp:A:P	cm:i:11	s1:i:95	s2:i:95	dv:f:0.0391
ERR10439742.20260	15568	6857	8987	-	OX578059.1	142895829	142821133	142823263	83	2130	4	tp:A:P	cm:i:9	s1:i:83	s2:i:68	dv:f:0.0976
ERR10439742.20465	10767	4	10733	-	OX578062.1	39551669	39469377	39480116	10327	10814	8	tp:A:P	cm:i:1847	s1:i:10301	s2:i:10029	dv:f:0.0008
ERR10439742.20576	5858	79	1959	+	OX578062.1	39551669	39511739	39513622	106	1883	0	tp:A:P	cm:i:10	s1:i:105	s2:i:105	dv:f:0.0567
ERR10439742.20688	5171	1814	2065	+	OX578059.1	142895829	142847821	142848072	48	251	0	tp:A:P	cm:i:6	s1:i:48	s2:i:48	dv:f:0.0190
ERR10439742.20856	11289	371	10304	-	OX578059.1	142895829	15166	25096	387	10354	0	tp:A:P	cm:i:28	s1:i:271	s2:i:270	dv:f:0.0353
ERR10439742.20921	14118	51	225	-	OX578062.1	39551669	83	258	41	175	0	tp:A:P	cm:i:4	s1:i:41	s2:i:0	dv:f:0.0267
ERR10439742.21246	15765	4	15702	+	OX578061.1	39856278	45034	60624	12474	15703	1	tp:A:P	cm:i:2142	s1:i:12457	s2:i:12402	dv:f:0.0040
ERR10439742.21292	6503	191	6332	-	OX578063.1	29784559	29778184	29784326	529	6143	0	tp:A:P	cm:i:50	s1:i:529	s2:i:529	dv:f:0.0153
ERR10439742.21716	8939	3049	8689	-	OX578063.1	29784559	19627	24630	218	5649	4	tp:A:P	cm:i:18	s1:i:128	s2:i:105	dv:f:0.0839
