query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	.	..	...	....	.....
SRR29535114.13424	454	192	391	+	LF10_chr5	48825035	48781321	48781526	89	205	3	tp:A:P	cm:i:5	s1:i:86	s2:i:79	dv:f:0.0397
SRR29535114.13812	1494	1282	1335	-	LF10_chr1	50495432	7124	7177	53	53	15	tp:A:P	cm:i:4	s1:i:53	s2:i:0	dv:f:0.0147
SRR29535114.13910	23700	7442	7604	+	LF10_chr1	50495432	7124	7285	98	163	60	tp:A:P	cm:i:9	s1:i:100	s2:i:0	dv:f:0.0107
SRR29535114.14352	29987	11606	11765	+	LF10_chr1	50495432	7124	7285	57	161	18	tp:A:P	cm:i:3	s1:i:64	s2:i:0	dv:f:0.0358
SRR29535114.14382	994	588	964	+	LF10_chr2	50269664	50249021	50249418	303	398	60	tp:A:P	cm:i:25	s1:i:288	s2:i:0	dv:f:0.0115
SRR29535114.14555	351	66	292	+	LF10_chr8	39140677	26901	27128	183	228	0	tp:A:P	cm:i:14	s1:i:178	s2:i:178	dv:f:0.0116
SRR29535114.14741	20724	6168	6334	+	LF10_chr1	50495432	50483317	50483482	136	166	60	tp:A:P	cm:i:10	s1:i:137	s2:i:59	dv:f:0.0168
SRR29535114.15070	629	359	511	-	LF10_chr7	34875448	34871905	34872057	102	152	30	tp:A:P	cm:i:8	s1:i:104	s2:i:53	dv:f:0.0160
SRR29535114.15327	380	77	365	+	LF10_chr5	48825035	48780154	48780447	168	296	0	tp:A:P	cm:i:15	s1:i:171	s2:i:166	dv:f:0.0146
SRR29535114.15493	1557	272	914	-	LF10_chr8	39140677	22576	23223	222	649	4	tp:A:P	cm:i:16	s1:i:218	s2:i:201	dv:f:0.0364
SRR29535114.15666	629	93	442	+	LF10_chr8	39140677	21623	21973	179	354	23	tp:A:P	cm:i:10	s1:i:197	s2:i:168	dv:f:0.0327
SRR29535114.15666	629	518	607	-	LF10_chr8	39140677	23412	23501	70	89	0	tp:A:P	cm:i:4	s1:i:81	s2:i:81	dv:f:0.0229
SRR29535114.15868	41245	3206	12547	+	LF10_chr8	39140677	19327	29439	1019	10632	20	tp:A:P	cm:i:56	s1:i:718	s2:i:488	dv:f:0.0810
SRR29535114.15868	41245	7988	17438	+	LF10_chr8	39140677	21410	29716	877	9829	27	tp:A:P	cm:i:48	s1:i:549	s2:i:306	dv:f:0.0877
SRR29535114.15868	41245	32668	38764	+	LF10_chr8	39140677	22696	28462	648	6398	9	tp:A:P	cm:i:38	s1:i:518	s2:i:436	dv:f:0.0825
SRR29535114.15868	41245	10653	20370	+	LF10_chr8	39140677	20406	29037	731	9971	12	tp:A:P	cm:i:41	s1:i:465	s2:i:349	dv:f:0.0940
SRR29535114.15868	41245	19458	28199	+	LF10_chr8	39140677	21335	30295	618	9460	10	tp:A:P	cm:i:33	s1:i:412	s2:i:339	dv:f:0.0964
SRR29535114.15868	41245	770	6735	+	LF10_chr8	39140677	21767	28471	408	6707	43	tp:A:P	cm:i:24	s1:i:278	s2:i:58	dv:f:0.0931
SRR29535114.15868	41245	31860	33981	+	LF10_chr8	39140677	20961	22998	229	2203	15	tp:A:P	cm:i:11	s1:i:189	s2:i:131	dv:f:0.0900
SRR29535114.15868	41245	27406	30009	+	LF10_chr8	39140677	20973	23651	203	2679	22	tp:A:P	cm:i:8	s1:i:171	s2:i:96	dv:f:0.1034
SRR29535114.16326	1221	470	614	-	LF10_chr1	50495432	7137	7285	85	148	60	tp:A:P	cm:i:8	s1:i:86	s2:i:0	dv:f:0.0083
SRR29535114.16344	726	161	204	-	LF10_chr1	50495432	7170	7213	43	43	3	tp:A:P	cm:i:3	s1:i:43	s2:i:0	dv:f:0.0201
SRR29535114.16474	11715	6957	7145	-	LF10_chr1	50495432	50483289	50483482	135	193	60	tp:A:P	cm:i:11	s1:i:127	s2:i:64	dv:f:0.0153
SRR29535114.16631	23378	2884	3071	-	LF10_chr1	50495432	50483289	50483482	178	193	60	tp:A:P	cm:i:25	s1:i:177	s2:i:0	dv:f:0.0041
SRR29535114.16724	35140	25862	26042	-	LF10_chr1	50495432	50483308	50483487	117	181	38	tp:A:P	cm:i:12	s1:i:117	s2:i:92	dv:f:0.0103
SRR29535114.16724	35140	26929	26978	-	LF10_chr4	46604272	46578918	46578967	49	49	8	tp:A:P	cm:i:3	s1:i:49	s2:i:0	dv:f:0.0183
SRR29535114.16805	1602	227	287	-	LF10_chr3	45743229	45741994	45742054	60	60	27	tp:A:P	cm:i:5	s1:i:60	s2:i:0	dv:f:0.0120
SRR29535114.16958	770	152	726	+	LF10_chr5	48825035	48799378	48799973	336	598	60	tp:A:P	cm:i:33	s1:i:328	s2:i:142	dv:f:0.0126
SRR29535114.17101	1738	1240	1356	-	LF10_chr1	50495432	7171	7285	68	116	30	tp:A:P	cm:i:4	s1:i:72	s2:i:0	dv:f:0.0209
SRR29535114.17132	5346	3714	3827	-	LF10_chr1	50495432	7136	7250	88	114	60	tp:A:P	cm:i:7	s1:i:87	s2:i:0	dv:f:0.0136
SRR29535114.17236	2437	260	2420	+	LF10_chr8	39140677	24049	26776	770	2731	0	tp:A:P	cm:i:52	s1:i:676	s2:i:666	dv:f:0.0353
SRR29535114.17236	2437	111	324	+	LF10_chr8	39140677	21588	21799	97	213	0	tp:A:P	cm:i:7	s1:i:92	s2:i:92	dv:f:0.0351
SRR29535114.17709	22548	6923	7038	+	LF10_chr1	50495432	7170	7285	84	116	39	tp:A:P	cm:i:4	s1:i:88	s2:i:0	dv:f:0.0207
SRR29535114.17831	331	34	300	-	LF10_chr1	50495432	215	508	123	293	0	tp:A:P	cm:i:3	s1:i:118	s2:i:112	dv:f:0.0413
SRR29535114.17836	10497	215	10329	+	LF10_chr6	67806300	67784060	67794386	4769	10404	60	tp:A:P	cm:i:381	s1:i:4632	s2:i:172	dv:f:0.0196
SRR29535114.17970	350	54	273	-	LF10_chr7	34875448	34870943	34871162	195	221	60	tp:A:P	cm:i:20	s1:i:194	s2:i:0	dv:f:0.0091
SRR29535114.17986	348	115	155	-	LF10_chr7	34875448	14431	14471	40	40	0	tp:A:P	cm:i:3	s1:i:40	s2:i:40	dv:f:0.0159
SRR29535114.18220	4394	413	567	+	LF10_chr1	50495432	50483327	50483482	146	155	27	tp:A:P	cm:i:19	s1:i:145	s2:i:124	dv:f:0.0036
SRR29535114.18733	1497	26	1472	-	LF10_chr4	46604272	41581	43041	630	1472	60	tp:A:P	cm:i:38	s1:i:650	s2:i:0	dv:f:0.0261
SRR29535114.18760	4001	2639	2727	-	LF10_chr1	50495432	7124	7213	88	89	60	tp:A:P	cm:i:8	s1:i:88	s2:i:0	dv:f:0.0082
SRR29535114.19645	1918	38	1381	-	LF10_chr8	39140677	21410	23309	565	1902	2	tp:A:P	cm:i:40	s1:i:496	s2:i:485	dv:f:0.0323
SRR29535114.19645	1918	821	1736	-	LF10_chr8	39140677	25140	26597	292	1458	19	tp:A:P	cm:i:18	s1:i:206	s2:i:166	dv:f:0.0445
SRR29535114.19714	1912	313	1782	+	LF10_chr8	39140677	21331	23196	469	1867	7	tp:A:P	cm:i:30	s1:i:418	s2:i:387	dv:f:0.0473
SRR29535114.19714	1912	174	422	+	LF10_chr8	39140677	21545	21799	86	254	0	tp:A:P	cm:i:3	s1:i:87	s2:i:87	dv:f:0.0705
SRR29535114.20238	25694	24054	24123	-	LF10_chr1	50495432	7143	7213	69	70	42	tp:A:P	cm:i:6	s1:i:69	s2:i:0	dv:f:0.0106
SRR29535114.20287	14394	13085	13263	-	LF10_chr1	50495432	50483307	50483482	145	179	48	tp:A:P	cm:i:13	s1:i:148	s2:i:110	dv:f:0.0170
SRR29535114.20769	5358	489	625	+	LF10_chr1	50495432	50483327	50483463	72	137	31	tp:A:P	cm:i:4	s1:i:73	s2:i:0	dv:f:0.0353
SRR29535114.20844	1413	59	1000	+	LF10_chr6	67806300	67779655	67780608	524	961	60	tp:A:P	cm:i:50	s1:i:529	s2:i:0	dv:f:0.0161
SRR29535114.21595	4470	3590	3762	-	LF10_chr1	50495432	7113	7285	111	173	60	tp:A:P	cm:i:9	s1:i:121	s2:i:0	dv:f:0.0166
SRR29535114.21635	11692	4248	4476	-	LF10_chr1	50495432	7164	7390	97	230	23	tp:A:P	cm:i:6	s1:i:95	s2:i:75	dv:f:0.0259
SRR29535114.21728	7559	4865	5098	-	LF10_chr1	50495432	7125	7361	121	236	60	tp:A:P	cm:i:8	s1:i:114	s2:i:0	dv:f:0.0152
SRR29535114.21807	4877	1046	1200	-	LF10_chr1	50495432	50483326	50483482	77	156	50	tp:A:P	cm:i:6	s1:i:78	s2:i:0	dv:f:0.0215
SRR29535114.21807	4877	2075	2123	-	LF10_chr4	46604272	46578918	46578967	48	49	7	tp:A:P	cm:i:3	s1:i:48	s2:i:0	dv:f:0.0181
SRR29535114.21871	1911	505	1855	-	LF10_chr2	50269664	50220177	50221576	632	1405	60	tp:A:P	cm:i:54	s1:i:654	s2:i:0	dv:f:0.0184
SRR29535114.21875	5376	3397	3472	-	LF10_chr1	50495432	7137	7213	75	76	56	tp:A:P	cm:i:7	s1:i:75	s2:i:0	dv:f:0.0094
SRR29535114.22041	11350	6543	6669	+	LF10_chr1	50495432	50483352	50483482	81	130	60	tp:A:P	cm:i:9	s1:i:79	s2:i:0	dv:f:0.0131
SRR29535114.22085	4076	2633	2753	+	LF10_chr1	50495432	7164	7285	59	121	29	tp:A:P	cm:i:5	s1:i:62	s2:i:0	dv:f:0.0124
SRR29535114.22162	280	96	214	-	LF10_chr7	34875448	22162	22281	80	119	1	tp:A:P	cm:i:5	s1:i:82	s2:i:78	dv:f:0.0166
SRR29535114.22495	5294	1596	1791	+	LF10_chr1	50495432	7164	7361	72	198	36	tp:A:P	cm:i:5	s1:i:70	s2:i:0	dv:f:0.0222
SRR29535114.22851	24372	17420	17535	-	LF10_chr1	50495432	7169	7285	69	116	38	tp:A:P	cm:i:5	s1:i:72	s2:i:0	dv:f:0.0175
SRR29535114.22881	3341	1699	1775	-	LF10_chr1	50495432	7137	7213	76	76	57	tp:A:P	cm:i:7	s1:i:76	s2:i:0	dv:f:0.0094
SRR29535114.22956	3292	2716	2759	+	LF10_chr4	46604272	46578931	46578973	42	43	2	tp:A:P	cm:i:3	s1:i:42	s2:i:0	dv:f:0.0179
SRR29535114.23243	5047	2272	2371	+	LF10_chr1	50495432	7114	7213	98	100	60	tp:A:P	cm:i:11	s1:i:98	s2:i:0	dv:f:0.0061
SRR29535114.23467	35704	16068	16239	-	LF10_chr1	50495432	50483307	50483480	132	175	60	tp:A:P	cm:i:8	s1:i:136	s2:i:0	dv:f:0.0174
SRR29535114.23586	16029	7710	7902	-	LF10_chr1	50495432	50483291	50483482	169	194	10	tp:A:P	cm:i:14	s1:i:161	s2:i:152	dv:f:0.0127
SRR29535114.23609	712	36	630	-	LF10_chr5	48825035	48806897	48807501	477	605	60	tp:A:P	cm:i:39	s1:i:479	s2:i:220	dv:f:0.0079
SRR29535114.23875	349	166	316	+	LF10_chr4	46604272	46582863	46583019	107	156	60	tp:A:P	cm:i:7	s1:i:102	s2:i:0	dv:f:0.0288
SRR29535114.24301	22383	4462	4598	+	LF10_chr1	50495432	7143	7285	78	142	28	tp:A:P	cm:i:3	s1:i:85	s2:i:0	dv:f:0.0314
SRR29535114.24445	24183	6796	6836	+	LF10_chr1	50495432	7137	7177	40	40	0	tp:A:P	cm:i:3	s1:i:40	s2:i:0	dv:f:0.0191
SRR29535114.24497	1271	162	953	-	LF10_chr2	50269664	39286	40094	258	808	60	tp:A:P	cm:i:18	s1:i:247	s2:i:74	dv:f:0.0299
SRR29535114.24647	22964	17285	17394	+	LF10_chr1	50495432	50483368	50483482	73	114	33	tp:A:P	cm:i:5	s1:i:66	s2:i:0	dv:f:0.0210
SRR29535114.25148	18174	98	250	-	LF10_chr1	50495432	50483327	50483479	128	152	60	tp:A:P	cm:i:14	s1:i:125	s2:i:66	dv:f:0.0047
SRR29535114.25272	9459	2842	3000	+	LF10_chr1	50495432	50483319	50483480	114	161	60	tp:A:P	cm:i:11	s1:i:119	s2:i:56	dv:f:0.0110
SRR29535114.25342	3027	37	737	-	LF10_chr8	39140677	39101838	39102536	446	707	60	tp:A:P	cm:i:32	s1:i:451	s2:i:153	dv:f:0.0160
SRR29535114.25512	530	72	491	+	LF10_chr5	48825035	48790582	48791015	224	433	20	tp:A:P	cm:i:18	s1:i:212	s2:i:178	dv:f:0.0177
SRR29535114.25594	23581	11340	11500	+	LF10_chr1	50495432	7124	7285	105	162	60	tp:A:P	cm:i:7	s1:i:109	s2:i:0	dv:f:0.0134
SRR29535114.25977	1198	656	800	+	LF10_chr1	50495432	50483318	50483463	106	146	60	tp:A:P	cm:i:8	s1:i:106	s2:i:53	dv:f:0.0119
SRR29535114.26014	2169	39	2139	+	LF10_chr1	50495432	50461355	50463494	1520	2149	60	tp:A:P	cm:i:136	s1:i:1500	s2:i:0	dv:f:0.0106
SRR29535114.26056	469	78	387	+	LF10_chr8	39140677	21409	21723	175	314	18	tp:A:P	cm:i:11	s1:i:175	s2:i:142	dv:f:0.0256
SRR29535114.26081	16109	6913	6962	+	LF10_chr1	50495432	7164	7213	49	49	11	tp:A:P	cm:i:4	s1:i:49	s2:i:0	dv:f:0.0151
SRR29535114.26226	7661	1174	1234	-	LF10_chr1	50495432	7137	7197	60	60	26	tp:A:P	cm:i:6	s1:i:60	s2:i:0	dv:f:0.0102
SRR29535114.26229	2870	2631	2720	+	LF10_chr1	50495432	7124	7213	80	89	47	tp:A:P	cm:i:5	s1:i:85	s2:i:0	dv:f:0.0212
SRR29535114.26240	6283	41	6267	-	LF10_chr7	34875448	34833610	34839954	3097	6365	60	tp:A:P	cm:i:273	s1:i:3017	s2:i:131	dv:f:0.0166
SRR29535114.26261	858	91	791	-	LF10_chr5	48825035	48787957	48788633	60	700	3	tp:A:P	cm:i:3	s1:i:52	s2:i:0	dv:f:0.0765
SRR29535114.26397	3525	65	3515	+	LF10_chr2	50269664	32409	35908	2206	3515	60	tp:A:P	cm:i:195	s1:i:2156	s2:i:0	dv:f:0.0122
SRR29535114.26622	315	39	218	+	LF10_chr2	50269664	50241913	50242096	151	183	60	tp:A:P	cm:i:12	s1:i:156	s2:i:0	dv:f:0.0077
SRR29535114.26848	4465	4058	4207	-	LF10_chr1	50495432	7137	7285	102	149	60	tp:A:P	cm:i:9	s1:i:106	s2:i:0	dv:f:0.0138
SRR29535114.26857	274	40	222	-	LF10_chr2	50269664	50224682	50224868	153	186	60	tp:A:P	cm:i:19	s1:i:156	s2:i:0	dv:f:0.0060
SRR29535114.27011	12688	9783	9939	-	LF10_chr1	50495432	50483326	50483482	107	158	26	tp:A:P	cm:i:13	s1:i:104	s2:i:87	dv:f:0.0116
SRR29535114.27226	873	46	763	-	LF10_chr8	39140677	21013	22084	415	1074	1	tp:A:P	cm:i:27	s1:i:360	s2:i:354	dv:f:0.0234
SRR29535114.27607	37822	34266	34409	+	LF10_chr1	50495432	7144	7285	60	143	22	tp:A:P	cm:i:4	s1:i:61	s2:i:0	dv:f:0.0146
SRR29535114.27700	3268	548	3254	+	LF10_chr7	34875448	1203	3974	1177	2788	60	tp:A:P	cm:i:98	s1:i:1162	s2:i:794	dv:f:0.0227
SRR29535114.27701	3174	34	2613	-	LF10_chr7	34875448	1286	3979	657	2698	51	tp:A:P	cm:i:55	s1:i:602	s2:i:444	dv:f:0.0382
SRR29535114.27701	3174	2855	2913	-	LF10_chr4	46604272	624	685	58	61	0	tp:A:P	cm:i:3	s1:i:57	s2:i:55	dv:f:0.0177
SRR29535114.28041	30883	27725	27901	+	LF10_chr1	50495432	50483307	50483482	122	177	60	tp:A:P	cm:i:11	s1:i:121	s2:i:0	dv:f:0.0176
SRR29535114.28046	668	167	207	-	LF10_chr1	50495432	7137	7177	40	40	0	tp:A:P	cm:i:3	s1:i:40	s2:i:0	dv:f:0.0178
SRR29535114.28102	4327	93	4305	+	LF10_chr4	46604272	46555743	46559998	3075	4285	60	tp:A:P	cm:i:304	s1:i:2993	s2:i:74	dv:f:0.0076
SRR29535114.28235	5971	4522	4658	+	LF10_chr1	50495432	7150	7285	53	136	14	tp:A:P	cm:i:3	s1:i:57	s2:i:0	dv:f:0.0257
SRR29535114.28668	37954	12806	12978	-	LF10_chr1	50495432	50483306	50483482	92	176	30	tp:A:P	cm:i:8	s1:i:94	s2:i:74	dv:f:0.0200
SRR29535114.28676	1028	949	995	-	LF10_chr8	39140677	23404	23450	46	46	0	tp:A:P	cm:i:3	s1:i:46	s2:i:46	dv:f:0.0171
