query_name	query_length	query_start	query_end	relative_strand	target_name	target_length	target_start	target_end	num_residue_matches	alignment_block_len	mapping_quality	match
ERR10809407.753559	16796	6	16795	-	OY979768.1	55528949	55487151	55504008	16034	16862	60	16034
ERR10809407.1903936	22582	1113	20904	-	OY979768.1	55528949	55473116	55492835	16024	20695	9	16024
ERR10809407.642529	16191	8	16183	+	OY979769.1	45422575	31794	47979	16017	16191	60	16017
ERR10809407.1323267	16165	4	16165	-	OY979766.1	136469214	40140	58555	16009	18445	33	16009
ERR10809407.605514	16140	9	16133	-	OY979768.1	55528949	55469233	55486277	15997	17044	0	15997
ERR10809407.736366	16306	9	16300	-	OY979767.1	119242295	30131	46416	15985	16294	60	15985
ERR10809407.788898	16163	9	16155	-	OY979768.1	55528949	55471842	55488931	15978	17093	50	15978
ERR10809407.497665	20869	8	19672	+	OY979768.1	55528949	55480072	55514675	15977	35637	41	15977
ERR10809407.999680	16324	3	16317	-	OY979768.1	55528949	20534	36855	15958	16321	60	15958
ERR10809407.722124	16366	4	16363	+	OY979766.1	136469214	13875	30268	15958	16403	27	15958
ERR10809407.620944	16449	2	16321	-	OY979768.1	55528949	55473104	55490273	15958	17197	50	15958
ERR10809407.578528	17439	3	16216	-	OY979768.1	55528949	55473104	55490151	15952	17052	46	15952
ERR10809407.1434383	16777	1	16774	+	OY979767.1	119242295	119210362	119227137	15941	16777	60	15941
ERR10809407.1807452	17081	0	17072	+	OY979769.1	45422575	15695	32830	15932	17142	60	15932
ERR10809407.167234	16576	0	16574	+	OY979769.1	45422575	11305	27879	15926	16583	60	15926
ERR10809407.880582	16192	3	16184	+	OY979768.1	55528949	55501854	55518059	15920	16206	60	15920
ERR10809407.240380	17148	962	17144	-	OY979768.1	55528949	55482599	55514685	15907	32130	41	15907
ERR10809407.537673	15981	2	15979	-	OY979768.1	55528949	55474369	55490348	15886	15979	60	15886
ERR10809407.1115991	16580	8	16572	-	OY979769.1	45422575	44183	60826	15885	16652	27	15885
ERR10809407.1747877	15941	7	15919	-	OY979766.1	136469214	136438268	136454180	15865	15920	60	15865
ERR10809407.1431778	16028	8	16020	-	OY979768.1	55528949	55469932	55486877	15863	16949	14	15863
ERR10809407.358682	21559	2	20154	+	OY979768.1	55528949	55479586	55514675	15844	36206	41	15844
ERR10809407.1249563	16607	1	16602	-	OY979768.1	55528949	55469265	55486735	15840	17510	10	15840
ERR10809407.1815060	15944	2	15939	-	OY979768.1	55528949	55474879	55490821	15826	15944	60	15826
ERR10809407.1514349	17408	77	16360	-	OY979768.1	55528949	55476011	55492835	15815	17221	40	15815
ERR10809407.515164	20287	836	18958	+	OY979766.1	136469214	136436902	136456327	15813	19994	60	15813
ERR10809407.2064750	16911	7	16903	-	OY979769.1	45422575	8130	25089	15808	16974	60	15808
ERR10809407.160638	18714	952	17648	-	OY979769.1	45422575	44240	60972	15783	16736	0	15783
ERR10809407.1646771	16452	0	16451	+	OY979769.1	45422575	45382950	45399396	15769	16500	60	15769
ERR10809407.413885	18110	5	18105	+	OY979769.1	45422575	45392852	45410957	15768	18105	60	15768
ERR10809407.941275	16853	3	16847	+	OY979767.1	119242295	10549	27398	15757	16849	60	15757
ERR10809407.854678	16827	1	16827	+	OY979769.1	45422575	4687	29184	15750	24526	60	15750
ERR10809407.1141425	16069	0	16065	-	OY979766.1	136469214	32166	48251	15735	16103	34	15735
ERR10809407.216960	16294	15	16114	-	OY979766.1	136469214	2894	19019	15728	16139	60	15728
ERR10809407.319696	15834	0	15828	-	OY979768.1	55528949	55464859	55480697	15725	15842	0	15725
ERR10809407.429178	16876	4	16865	-	OY979767.1	119242295	18174	35027	15715	16864	60	15715
ERR10809407.1294482	16447	9	16445	-	OY979769.1	45422575	21525	38002	15692	16490	60	15692
ERR10809407.945719	16122	8	16116	+	OY979769.1	45422575	45386699	45402822	15689	16129	60	15689
ERR10809407.158619	16340	1	16333	+	OY979769.1	45422575	12443	28777	15685	16338	60	15685
ERR10809407.1277594	16741	7	16736	-	OY979768.1	55528949	55472596	55489401	15683	17609	27	15683
ERR10809407.626529	16509	2	16500	-	OY979769.1	45422575	5823	22347	15678	16535	57	15678
ERR10809407.283781	16213	2	16209	+	OY979769.1	45422575	5698	29519	15675	23842	60	15675
ERR10809407.1899736	16787	3	16509	-	OY979766.1	136469214	27211	43139	15671	16548	15	15671
ERR10809407.1768923	16277	1	16269	-	OY979768.1	55528949	55472625	55489756	15671	17167	51	15671
ERR10809407.246602	16164	6	16161	+	OY979769.1	45422575	19567	35753	15668	16188	60	15668
ERR10809407.1540297	20275	734	19026	+	OY979766.1	136469214	136436902	136456327	15659	20002	60	15659
ERR10809407.353327	16208	9	16206	+	OY979767.1	119242295	27464	43642	15630	16217	42	15630
ERR10809407.1132157	16079	9	16067	-	OY979766.1	136469214	136408487	136424557	15624	16074	60	15624
ERR10809407.510594	22671	7	19698	-	OY979768.1	55528949	55481821	55513173	15619	34884	42	15619
ERR10809407.1720236	15756	7	15751	-	OY979766.1	136469214	33449	49211	15610	15766	35	15610
ERR10809407.962317	15682	7	15674	+	OY979767.1	119242295	1457	17128	15595	15671	60	15595
ERR10809407.451331	16024	0	16020	-	OY979768.1	55528949	55478940	55514437	15534	35893	29	15534
ERR10809407.1698437	16182	2	16176	-	OY979768.1	55528949	2313	18496	15494	16189	60	15494
ERR10809407.1027123	17126	4	17119	-	OY979767.1	119242295	119197438	119214586	15493	17175	60	15493
ERR10809407.1547955	15566	7	15561	+	OY979766.1	136469214	136432572	136448131	15487	15563	60	15487
ERR10809407.918023	17276	9	17275	-	OY979768.1	55528949	55478015	55510490	15463	32562	39	15463
ERR10809407.1216826	19470	3856	19465	-	OY979767.1	119242295	119221437	119237051	15457	15617	60	15457
ERR10809407.1517638	17260	1434	17259	-	OY979768.1	55528949	55479290	55514915	15453	35660	30	15453
ERR10809407.1658050	15767	0	15760	-	OY979766.1	136469214	44627	62627	15442	18048	31	15442
ERR10809407.1893508	15867	7	15859	-	OY979769.1	45422575	38088	53989	15441	15909	49	15441
ERR10809407.560100	19157	7	19150	-	OY979768.1	55528949	55470270	55489314	15429	19962	20	15429
ERR10809407.343403	15840	1	15835	+	OY979768.1	55528949	55486742	55502603	15425	15862	60	15425
ERR10809407.1259631	15713	5	15704	-	OY979768.1	55528949	55495227	55510951	15422	15729	60	15422
ERR10809407.1442903	16969	6	16967	-	OY979766.1	136469214	136446202	136463169	15407	16969	60	15407
ERR10809407.413258	15502	0	15493	-	OY979768.1	55528949	41561	57067	15401	15507	60	15401
ERR10809407.1006845	18912	9	18906	-	OY979768.1	55528949	55467817	55485746	15391	18910	0	15391
ERR10809407.111807	15493	7	15486	+	OY979766.1	136469214	136435116	136450572	15381	15482	60	15381
ERR10809407.1942016	16461	2	16293	+	OY979768.1	55528949	55479609	55514675	15377	35133	32	15377
ERR10809407.1370290	20451	1826	17995	-	OY979768.1	55528949	55476011	55492845	15370	16878	21	15370
ERR10809407.1439310	15717	2	15708	+	OY979768.1	55528949	26200	41907	15365	15708	60	15365
ERR10809407.124619	19706	3	19594	+	OY979768.1	55528949	55480231	55514675	15362	35556	41	15362
ERR10809407.748879	16067	7	16060	-	OY979768.1	55528949	55471199	55487785	15360	17009	35	15360
ERR10809407.1918105	15439	2	15437	-	OY979768.1	55528949	55475282	55490718	15359	15436	60	15359
ERR10809407.228610	15460	4	15457	-	OY979769.1	45422575	35489	50951	15357	15466	60	15357
ERR10809407.696184	19124	1	15697	-	OY979768.1	55528949	55476011	55492351	15348	16340	2	15348
ERR10809407.380940	15598	8	15594	-	OY979768.1	55528949	55505336	55520933	15341	15598	60	15341
ERR10809407.1072392	19073	54	19073	-	OY979768.1	55528949	55480713	55514675	15326	34996	43	15326
ERR10809407.697559	15808	1	15802	-	OY979769.1	45422575	194	16039	15317	15858	9	15317
ERR10809407.851466	16285	9	16283	-	OY979766.1	136469214	136403363	136419646	15298	16303	60	15298
ERR10809407.1704472	15367	8	15359	-	OY979766.1	136469214	136421219	136436576	15296	15358	43	15296
ERR10809407.467365	16540	3	16539	-	OY979767.1	119242295	17545	34108	15289	16567	60	15289
ERR10809407.1787298	16260	769	16251	-	OY979768.1	55528949	55479393	55514675	15279	35287	7	15279
ERR10809407.963937	18785	8	15401	+	OY979767.1	119242295	119221616	119237014	15270	15398	60	15270
ERR10809407.1455985	20744	2	19337	-	OY979768.1	55528949	55478918	55513258	15264	35366	41	15264
ERR10809407.1183110	15930	8	15923	-	OY979769.1	45422575	9081	25002	15249	15926	60	15249
